algoritmo,k,silhouette,tiempo_s,min_cluster_size,n_muestra
KModes,4,0.029708847129886,1.2873268127441406,514,6000
KModes,6,0.0044723876558735,1.1172888278961182,336,6000
KModes,8,0.0164685330431563,1.173382043838501,273,6000
KPrototypes,4,0.0802912518981092,2.5916805267333984,977,6000
KPrototypes,6,0.0562390030667173,3.020373582839966,241,6000
KPrototypes,8,0.0597123472488813,3.5270745754241943,241,6000
OneHot+KMeans,4,0.1256047904063202,0.1572282314300537,859,6000
OneHot+KMeans,6,0.1049895371633328,0.1087744235992431,625,6000
OneHot+KMeans,8,0.1075776109848276,0.172631025314331,381,6000
OneHot+PCA+KMeans,4,0.1256047904063202,0.0741758346557617,859,6000
OneHot+PCA+KMeans,6,0.1140636644664469,0.0594217777252197,724,6000
OneHot+PCA+KMeans,8,0.10448348984258425,0.0736393928527832,296,6000
